category,term
pos,ADJ
pos,ADP
pos,ADV
pos,AUX
pos,CCONJ
pos,DET
pos,INTJ
pos,NOUN
pos,NUM
pos,PART
pos,PRON
pos,PROPN
pos,PUNCT
pos,SCONJ
pos,SYM
pos,VERB
pos,X
deprel,acl
deprel,advcl
deprel,advmod
deprel,amod
deprel,appos
deprel,aux
deprel,case
deprel,cc
deprel,ccomp
deprel,compound
deprel,conj
deprel,cop
deprel,csubj
deprel,dep
deprel,det
deprel,discourse
deprel,expl
deprel,fixed
deprel,flat
deprel,iobj
deprel,mark
deprel,nmod
deprel,nsubj
deprel,nummod
deprel,obj
deprel,obl
deprel,parataxis
deprel,punct
deprel,root
deprel,xcomp
